Name,Author,Goodreads Rating,Year Published,
"Thinking Shakespeare: A How-to Guide for Student Actors,Directors,and Anyone Else Who Wants to Feel More Comfortable With the Bard",Barry Edelstein.,[4.62](https://www.goodreads.com/book/show/1334872.Thinking_Shakespeare),,
Hamlet and Revenge,Eleanor Prosser,[4.50](https://www.goodreads.com/book/show/625956.Hamlet_Revenge_),1971,
"Shakespeare's Metrical Art",George T. Wright,[4.39](https://www.goodreads.com/book/show/428615.Shakespeare_s_Metrical_Art),1991,
Hamlet in Purgatory,Stephen Greenblatt,[3.98](https://www.goodreads.com/book/show/33179.Hamlet_in_Purgatory),2002,
