Name,Author,Goodreads Rating,Year Published,
"The Queen's Gambit",Walter Tevis,[4.11](https://www.goodreads.com/book/show/62022.The_Queen_s_Gambit),,
The Bone People,Keri Hulme,[4.06](https://www.goodreads.com/book/show/460635.The_Bone_People),1986,
"Cat's Eye",Margaret Atwood,[3.92](https://www.goodreads.com/book/show/51019.Cat_s_Eye),1998,
Xeelee Sequence,Stephen Baxter,[3.69](http://www.goodreads.com/series/49784-xeelee-sequence),1992,
Ghost Fleet,P.W. Singer and August Cole,[3.62](https://www.goodreads.com/book/show/22749719-ghost-fleet?from_search=true),2015,
Future Crimes,Marc Goodman,[3.42](https://www.goodreads.com/book/show/22318398-future-crimes?from_search=true),1990,
