Name,Author,Goodreads Rating,Year Published,
Sex at Dawn: The Prehistoric Origins of Modern,"Christopher Ryan,Cacilda Jetha",[4.02](https://www.goodreads.com/book/show/7640261-sex-at-dawn),2010,
The Ethical Slut: A Guide to Infinite Sexual Possibilities,"Dossie Easton,Catherine A. Liszt.",[3.83](http://www.goodreads.com/book/show/54944.The_Ethical_Slut?from_search=true),2004,
The Sex Myth,Brooke Magnanti,[3.50](https://www.goodreads.com/book/show/13569582-the-sex-myth),2015,
