Name,Author,Goodreads Rating,Year Published,
House of Leaves,Mark Z. Danielewski,[4.13](http://www.goodreads.com/book/show/24800.House_of_Leaves),2000,
Dracula,Bram Stoker,[3.98](http://www.goodreads.com/book/show/17245.Dracula),1986,
Frankenstein,"Mary Shelley,Maurice Hindle",[3.75](http://www.goodreads.com/book/show/18490.Frankenstein),2003,
