Name,Author,Goodreads Rating,Year Published,
Hat Box: The Collected Lyrics of Stephen Sondheim,Stephen Sondheim,[4.77](https://www.goodreads.com/book/show/12909101-hat-box),,
On Writing: A Memoir of the Craft,Stephen King,[4.31](https://www.goodreads.com/book/show/10569.On_Writing),2002,
Clear and Simple as the Truth,"Francis-Noël Thomas,Mark Turner",[4.06](https://www.goodreads.com/book/show/120549.Clear_and_Simple_as_the_Truth),1996,
"The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century",Steven Pinker,[4.03](http://www.goodreads.com/book/show/20821371-the-sense-of-style),2014,
